Differences in Semantics of ZAI and ZHENGZAI,,,,,
Verbs,Situation Type,ZAI,ZHENGZAI,[+Durative/-Durative],[+Dynamic/-Dynamic]
奔驰在兴安岭边,Activity,0,1,[+Durative],[+Dynamic]
奔跑,Activity,8,0,[+Durative],[+Dynamic]
奔跑，呼叫,Activity,1,0,[+Durative],[+Dynamic]
奔走,Activity,1,0,[+Durative],[+Dynamic]
蹦,Activity,2,0,[+Durative],[+Dynamic]
逼仓,Activity,1,0,[+Durative],[+Dynamic]
逼你,Activity,1,0,[+Durative],[+Dynamic]
逼琴,Activity,1,0,[+Durative],[+Dynamic]
逼人,Activity,1,0,[+Durative],[+Dynamic]
逼她,Activity,1,0,[+Durative],[+Dynamic]
逼问,Activity,1,0,[+Durative],[+Dynamic]
比剑,Activity,1,0,[+Durative],[+Dynamic]
比赛,Activity,1,1,[+Durative],[+Dynamic]
比赛看谁能把地理课本倒背如流,Activity,1,0,[+Durative],[+Dynamic]
怕那只手,State,1,0,[+Durative],[-Dynamic]
怕谁误会,State,1,0,[+Durative],[-Dynamic]
避免同印度入侵部队发生冲突,Transition,1,0,[-Durative],[+Dynamic]
避免与日本交战,Transition,1,0,[-Durative],[+Dynamic]
编成一根很粗的大辫子,Transition,0,1,[+Durative],[+Dynamic]
编歌骂我,Activity,1,0,[+Durative],[+Dynamic]
编谎,Activity,1,0,[+Durative],[+Dynamic]
编辑,Activity,0,1,[+Durative],[+Dynamic]
编辑《王国维书信集》,Activity,0,1,[+Durative],[+Dynamic]
编辑出版一批重要科技图书,Activity,0,1,[+Durative],[+Dynamic]
编辑一部波中辞典,Activity,0,1,[+Durative],[+Dynamic]
编麻鞋,Activity,1,0,[+Durative],[+Dynamic]
编席子,Activity,1,0,[+Durative],[+Dynamic]
编织东西,Activity,1,0,[+Durative],[+Dynamic]
变,Activity,25,0,[+Durative],[+Dynamic]
变“修”,Activity,0,1,[+Durative],[+Dynamic]
变暗,Activity,1,0,[+Durative],[+Dynamic]
变白,Activity,1,0,[+Durative],[+Dynamic]
变成“两夏”,Transition,0,1,[+Durative],[+Dynamic]
变成美国人的幻想,Transition,0,1,[+Durative],[+Dynamic]
变成群众自觉行动,Transition,0,1,[+Durative],[+Dynamic]
变成未来侵略民主中国的战争根据地,Transition,0,1,[+Durative],[+Dynamic]
变成瞎聊天或编织手艺的时间,Transition,0,1,[+Durative],[+Dynamic]
变成现实,Transition,0,8,[+Durative],[+Dynamic]
变成一个大公园,Transition,0,1,[+Durative],[+Dynamic]
变成一个科学院,Transition,0,1,[+Durative],[+Dynamic]
变成整个亚洲的产业发动机,Transition,0,1,[+Durative],[+Dynamic]
变淡,Activity,1,1,[+Durative],[+Dynamic]
变得更有“存在感”,Transition,0,1,[+Durative],[+Dynamic]
变得日益激烈,Transition,0,1,[+Durative],[+Dynamic]
变得虚无缥缈,Transition,0,1,[+Durative],[+Dynamic]
变得越来越像身边这位少女,Transition,0,1,[+Durative],[+Dynamic]
变轨,Activity,1,0,[+Durative],[+Dynamic]
变好,Activity,2,0,[+Durative],[+Dynamic]
变红,Activity,1,0,[+Durative],[+Dynamic]
变化,Transition,34,3,[+Durative],[+Dynamic]
变化为有事找,Transition,0,1,[+Durative],[+Dynamic]
变坏,Activity,2,0,[+Durative],[+Dynamic]
变换,Activity,4,0,[+Durative],[+Dynamic]
变荒,Activity,1,0,[+Durative],[+Dynamic]
变旧,Activity,1,0,[+Durative],[+Dynamic]
变冷,Activity,0,1,[+Durative],[+Dynamic]
变浓,Activity,1,0,[+Durative],[+Dynamic]
变清,Activity,1,0,[+Durative],[+Dynamic]
变热,Activity,1,0,[+Durative],[+Dynamic]
变软变薄,Activity,1,0,[+Durative],[+Dynamic]
变为半封建半殖民地式的社会,Transition,0,1,[+Durative],[+Dynamic]
变为现实,Transition,0,4,[+Durative],[+Dynamic]
变为最不可靠的,Transition,0,1,[+Durative],[+Dynamic]
变咸,Activity,1,0,[+Durative],[+Dynamic]
变小,Activity,3,1,[+Durative],[+Dynamic]
变形,Activity,1,0,[+Durative],[+Dynamic]
变浊水,Activity,0,1,[+Durative],[+Dynamic]
变奏,Activity,1,0,[+Durative],[+Dynamic]
辨认他眼前的这位自命老朋友的人到底是谁,Activity,1,0,[+Durative],[+Dynamic]
辩论,Activity,4,1,[+Durative],[+Dynamic]
辩论调整组织机构减少人员方案,Activity,0,1,[+Durative],[+Dynamic]
辩论国民党从抗战转入战后的有关方针政策问题,Activity,0,1,[+Durative],[+Dynamic]
表达,Activity,1,0,[+Durative],[+Dynamic]
表达热忱的敬意,Activity,1,0,[+Durative],[+Dynamic]
表示,Activity,3,0,[+Durative],[+Dynamic]
表示不屈和坚贞,Activity,1,0,[+Durative],[+Dynamic]
表示反对,Activity,1,0,[+Durative],[+Dynamic]
表示焦烦,Activity,1,0,[+Durative],[+Dynamic]
表示惊诧,Activity,1,0,[+Durative],[+Dynamic]
表示两国终不能调和,Activity,1,0,[+Durative],[+Dynamic]
表示他的惋惜之情,Activity,1,0,[+Durative],[+Dynamic]
表示他害怕把她失掉,Activity,1,0,[+Durative],[+Dynamic]
表示他有什么伟大的抱负,Activity,1,0,[+Durative],[+Dynamic]
表示它的愁思,Activity,1,0,[+Durative],[+Dynamic]
表示它底胜利,Activity,1,0,[+Durative],[+Dynamic]
表示她不愿意跟他走,Activity,1,0,[+Durative],[+Dynamic]
表示她的敏感,Activity,1,0,[+Durative],[+Dynamic]
表示她愿意和新的势力靠拢,Activity,1,0,[+Durative],[+Dynamic]
表示笑,Activity,1,0,[+Durative],[+Dynamic]
表演,Activity,2,0,[+Durative],[+Dynamic]
表演第三套健身秧歌,Activity,0,1,[+Durative],[+Dynamic]
表演歌舞剧,Activity,1,0,[+Durative],[+Dynamic]
表演民族舞蹈“抬新娘”,Activity,1,0,[+Durative],[+Dynamic]
表演跆拳道和各种民族游戏,Activity,1,0,[+Durative],[+Dynamic]
表扬他们,Activity,1,0,[+Durative],[+Dynamic]
表扬它,Activity,1,0,[+Durative],[+Dynamic]
拨开艺术理想的雾障,Transition,1,0,[+Durative],[+Dynamic]
波动,Activity,5,1,[+Durative],[+Dynamic]
剥削,Activity,2,0,[+Durative],[+Dynamic]
剥削你,Activity,1,0,[+Durative],[+Dynamic]
播放,Activity,1,3,[+Durative],[+Dynamic]
播放那一首“孤独的人是无耻的”歌,Activity,1,0,[+Durative],[+Dynamic]
播放视频,Activity,1,0,[+Durative],[+Dynamic]
播放焰火晚会的实况,Activity,1,0,[+Durative],[+Dynamic]
播放一部纪录片,Activity,0,1,[+Durative],[+Dynamic]
播放一段美妙的乐曲,Activity,0,1,[+Durative],[+Dynamic]
播放一支快活的曲子,Activity,1,0,[+Durative],[+Dynamic]
播关于通缉他的事,Activity,1,0,[+Durative],[+Dynamic]
补底,Activity,1,0,[+Durative],[+Dynamic]
补苗,Activity,0,1,[+Durative],[+Dynamic]
布置,Activity,0,2,[+Durative],[+Dynamic]
布置这一年中的生产计划,Activity,1,0,[+Durative],[+Dynamic]
步入商业社会,Transition,0,1,[+Durative],[+Dynamic]
步入死胡同,Transition,0,1,[+Durative],[+Dynamic]
部署,Activity,1,1,[+Durative],[+Dynamic]
部署、执行屠杀任务,Activity,0,1,[+Durative],[+Dynamic]
部署第四代的洲际弹道导弹,Activity,1,0,[+Durative],[+Dynamic]
擦,Activity,0,1,[+Durative],[+Dynamic]
擦车灯,Activity,0,1,[+Durative],[+Dynamic]
擦厨房,Activity,1,0,[+Durative],[+Dynamic]
擦瓷盆,Activity,6,0,[+Durative],[+Dynamic]
擦额角上的汗滴,Activity,1,0,[+Durative],[+Dynamic]
擦粉,Activity,2,0,[+Durative],[+Dynamic]
擦红药水,Activity,1,0,[+Durative],[+Dynamic]
擦火柴,Activity,1,0,[+Durative],[+Dynamic]
擦泪,Activity,1,0,[+Durative],[+Dynamic]
擦面,Activity,0,2,[+Durative],[+Dynamic]
擦去告别亲人的泪水,Transition,1,0,[+Durative],[+Dynamic]
擦沙,Activity,1,0,[+Durative],[+Dynamic]
擦身,Activity,0,1,[+Durative],[+Dynamic]
擦什么东西,Activity,1,0,[+Durative],[+Dynamic]
擦拭瓷器,Activity,1,0,[+Durative],[+Dynamic]
擦手,Activity,0,1,[+Durative],[+Dynamic]
擦洗楼板,Activity,0,1,[+Durative],[+Dynamic]
擦洗汽车,Activity,0,1,[+Durative],[+Dynamic]
擦眼泪,Activity,3,0,[+Durative],[+Dynamic]
擦桌子,Activity,2,0,[+Durative],[+Dynamic]
擦自己的手,Activity,0,1,[+Durative],[+Dynamic]
猜,Activity,2,0,[+Durative],[+Dynamic]
猜测,Activity,3,0,[+Durative],[+Dynamic]
猜测绑架你的到底是哪一路人,Activity,1,0,[+Durative],[+Dynamic]
猜测柳生的去向,Activity,0,1,[+Durative],[+Dynamic]
猜测一切可能遇到的不利情况,Activity,1,0,[+Durative],[+Dynamic]
猜谜,Activity,1,0,[+Durative],[+Dynamic]
猜那另一半像谁,Activity,1,0,[+Durative],[+Dynamic]
猜拳,Activity,1,0,[+Durative],[+Dynamic]
采购油盐,Activity,0,1,[+Durative],[+Dynamic]
采叶,Activity,0,1,[+Durative],[+Dynamic]
踩刹车,Activity,1,0,[+Durative],[+Dynamic]
参观北京农业机械厂制造的新式农具,Activity,1,0,[+Durative],[+Dynamic]
参观巢鸭青山的疯人院,Activity,1,0,[+Durative],[+Dynamic]
参观甘蔗的优良品种,Activity,0,1,[+Durative],[+Dynamic]
参观谷歌中国清华科技园的新设施,Activity,1,0,[+Durative],[+Dynamic]
参观她的厨房,Activity,1,0,[+Durative],[+Dynamic]
参观展品,Activity,1,0,[+Durative],[+Dynamic]
参加割草的义务劳动,Activity,0,1,[+Durative],[+Dynamic]
参加广播师范大学学习,Activity,1,0,[+Durative],[+Dynamic]
参加秘密多头公司,Activity,0,1,[+Durative],[+Dynamic]
参加那争自由的斗争,Activity,1,0,[+Durative],[+Dynamic]
参加通用机枪射击专业比武,Activity,0,1,[+Durative],[+Dynamic]
参加为时一周的义务劳动,Activity,0,1,[+Durative],[+Dynamic]
参加一场紧张的战斗,Activity,0,1,[+Durative],[+Dynamic]
参加战备演习,Activity,0,1,[+Durative],[+Dynamic]
操纵大局,Activity,1,0,[+Durative],[+Dynamic]
测量标高,Activity,0,1,[+Durative],[+Dynamic]
测量塑料袋,Activity,0,1,[+Durative],[+Dynamic]
策划,Activity,1,1,[+Durative],[+Dynamic]
策划报道,Activity,1,0,[+Durative],[+Dynamic]
策划对越南的新挑衅,Activity,1,0,[+Durative],[+Dynamic]
策划反对叙利亚的新阴谋,Activity,1,0,[+Durative],[+Dynamic]
策划极其危险的步骤,Activity,1,0,[+Durative],[+Dynamic]
策划举行“不结盟国家”经济会议,Activity,0,1,[+Durative],[+Dynamic]
策划扩张阴谋的殖民主义,Activity,1,0,[+Durative],[+Dynamic]
策划破坏伦敦裁军会议,Activity,0,1,[+Durative],[+Dynamic]
策划什么针对谁要搞点行动,Activity,1,0,[+Durative],[+Dynamic]
策划新的阴谋,Activity,1,1,[+Durative],[+Dynamic]
策划新的政变企图,Activity,0,1,[+Durative],[+Dynamic]
策划一个评价体系,Activity,1,0,[+Durative],[+Dynamic]
策划一系列镇压行动,Activity,0,1,[+Durative],[+Dynamic]
策划永久分裂朝鲜,Activity,0,1,[+Durative],[+Dynamic]
插秧,Activity,2,1,[+Durative],[+Dynamic]
查“反标”,Activity,1,0,[+Durative],[+Dynamic]
查处,Activity,0,2,[+Durative],[+Dynamic]
查苗补苗,Activity,0,1,[+Durative],[+Dynamic]
查苗补苗进行苗期管理活动,Activity,0,1,[+Durative],[+Dynamic]
查网篮,Activity,1,0,[+Durative],[+Dynamic]
查一本本的名册,Activity,1,0,[+Durative],[+Dynamic]
查阅资料,Activity,1,0,[+Durative],[+Dynamic]
查找大白鲟死亡原因,Activity,0,1,[+Durative],[+Dynamic]
拆,Activity,1,0,[+Durative],[+Dynamic]
拆草棚,Activity,1,0,[+Durative],[+Dynamic]
拆城,Activity,1,0,[+Durative],[+Dynamic]
拆房子,Activity,1,0,[+Durative],[+Dynamic]
拆毁房屋,Transition,0,1,[+Durative],[+Dynamic]
拆开女朋友寄来的包裹,Transition,0,1,[+Durative],[+Dynamic]
拆墙,Activity,1,0,[+Durative],[+Dynamic]
拆一件旧毛线衣,Activity,1,0,[+Durative],[+Dynamic]
忏悔,Activity,2,0,[+Durative],[+Dynamic]
颤,Activity,2,0,[+Durative],[+Dynamic]
颤抖,Activity,27,0,[+Durative],[+Dynamic]
唱,Activity,12,0,[+Durative],[+Dynamic]
唱“百字令”,Activity,1,0,[+Durative],[+Dynamic]
唱“小麻雀”,Activity,1,0,[+Durative],[+Dynamic]
唱梆子腔的南天门,Activity,0,1,[+Durative],[+Dynamic]
唱歌,Activity,7,0,[+Durative],[+Dynamic]
唱古,Activity,2,0,[+Durative],[+Dynamic]
唱什么,Activity,1,0,[+Durative],[+Dynamic]
唱生日歌,Activity,1,0,[+Durative],[+Dynamic]
唱他们听惯了的那种没有感情的单调的调子,Activity,1,0,[+Durative],[+Dynamic]
唱童谣,Activity,1,0,[+Durative],[+Dynamic]
唱戏,Activity,0,1,[+Durative],[+Dynamic]
唱小曲儿,Activity,1,0,[+Durative],[+Dynamic]
唱一个被抛弃的女人的忧伤,Activity,1,0,[+Durative],[+Dynamic]
朝互联网结合资本的企业这样一条路在走,Activity,0,1,[+Durative],[+Dynamic]
吵,Activity,5,0,[+Durative],[+Dynamic]
吵架,Activity,3,1,[+Durative],[+Dynamic]
炒菜,Activity,0,1,[+Durative],[+Dynamic]
炒周立波专场演出票,Activity,1,0,[+Durative],[+Dynamic]
扯谎,Activity,1,0,[+Durative],[+Dynamic]
扯锁,Activity,1,0,[+Durative],[+Dynamic]
扯衣角,Activity,1,0,[+Durative],[+Dynamic]
沉,Activity,3,0,[+Durative],[+Dynamic]
沉入安静,Transition,0,2,[+Durative],[+Dynamic]
称赞解放军的纪律严明,Activity,1,0,[+Durative],[+Dynamic]
称赞你读书读得好,Activity,1,0,[+Durative],[+Dynamic]
撑腰和打气,Activity,1,0,[+Durative],[+Dynamic]
成立,Transition,2,0,[-Durative],[+Dynamic]
成立地产公司,Transition,0,1,[-Durative],[+Dynamic]
成立两个师的武装部队,Transition,0,1,[-Durative],[+Dynamic]
呈现出欣欣向荣的兴旺景象,Transition,0,1,[-Durative],[+Dynamic]
吃,Activity,13,1,[+Durative],[+Dynamic]
吃不吉的果实,Activity,1,0,[+Durative],[+Dynamic]
吃草,Activity,2,0,[+Durative],[+Dynamic]
吃草料,Activity,1,0,[+Durative],[+Dynamic]
吃醋,Activity,1,0,[+Durative],[+Dynamic]
吃点心,Activity,1,0,[+Durative],[+Dynamic]
吃东西,Activity,0,1,[+Durative],[+Dynamic]
吃饭,Activity,18,18,[+Durative],[+Dynamic]
吃饭盒子,Activity,0,1,[+Durative],[+Dynamic]
吃饭团,Activity,1,0,[+Durative],[+Dynamic]
吃高粱馍馍,Activity,1,0,[+Durative],[+Dynamic]
吃瓜子,Activity,0,1,[+Durative],[+Dynamic]
吃家乡菜,Activity,0,1,[+Durative],[+Dynamic]
吃苦,Activity,5,0,[+Durative],[+Dynamic]
吃利息,Activity,1,0,[+Durative],[+Dynamic]
吃面条,Activity,1,0,[+Durative],[+Dynamic]
吃奶,Activity,3,0,[+Durative],[+Dynamic]
吃南乳花生,Activity,0,1,[+Durative],[+Dynamic]
吃年饭,Activity,1,0,[+Durative],[+Dynamic]
吃年夜饭,Activity,2,0,[+Durative],[+Dynamic]
吃人肉、喝人血,Activity,1,0,[+Durative],[+Dynamic]
吃什么,Activity,1,0,[+Durative],[+Dynamic]
吃什么好吃的东西,Activity,0,1,[+Durative],[+Dynamic]
吃什么食物,Activity,1,0,[+Durative],[+Dynamic]
吃他的肺,Activity,2,0,[+Durative],[+Dynamic]
吃糖,Activity,1,0,[+Durative],[+Dynamic]
吃团年饭,Activity,1,0,[+Durative],[+Dynamic]
吃丸药,Activity,1,0,[+Durative],[+Dynamic]
吃晚饭,Activity,1,4,[+Durative],[+Dynamic]
吃午饭,Activity,0,3,[+Durative],[+Dynamic]
吃香鸡排,Activity,1,0,[+Durative],[+Dynamic]
吃药,Activity,4,0,[+Durative],[+Dynamic]
